founder_uuid,rendered_text
ef9c8004-4689-436f-a457-6593bc03d0c2,"This founder leads a startup in the Software Development industry.
Education:
* BS in Computer Science (Institution QS rank 4)

Professional experience:
* Software Developer for <2 years"
960603db-f07c-4bab-af93-acc0602183be,"This founder leads a startup in the Software Development industry.
Education:
* Bachelor in Chemistry (Institution QS rank 4)

Professional experience:
* Development Manager for <2 years in the `Software Development` industry (201-500 employees)
* Co-Founder for <2 years
* Special Operations Manager for 2-3 years in the `Software Development` industry (201-500 employees)
* Sales Engineer for 2-3 years in the `Software Development` industry (201-500 employees)
* Software Engineer for 4-5 years in the `Software Development` industry (201-500 employees)"
8d94b7f0-78f0-447f-8325-b7104a596267,"This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* PhD in Finance (Institution QS rank 119)
* MSc in Computational Neuroscience (Institution QS rank 147)
* MSc in Natural Sciences (Institution QS rank 119)
* BA in Economics and Philosophy (Institution QS rank 200+)
* BA (Institution QS rank 119)

Professional experience:
* Co-Founder for <2 years
* Co-Founder for >9 years
* Co-CEO for 2-3 years"
7a520e00-d861-4ffa-99b3-8bd535016c3d,"This founder leads a startup in the Clinical & Diagnostic Healthcare industry.
Education:
* in Economics (Institution QS rank 42)

Professional experience:
* COO for 4-5 years in the `Clinical & Diagnostic Healthcare` industry (1001-5000 employees)
* Investment Associate for <2 years in the `Venture Capital & Private Equity` industry (51-200 employees)
* Senior Associate Consultant for 2-3 years in the `Management, Strategy & Professional Services` industry (10001+ employees)"
36a83cfe-f594-459b-ab73-293b52fdbcab,"This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* Master in Computer Science (Institution QS rank 77)
* BTech in Computer Science (Institution QS rank 200+)

Professional experience:
* Staff Software Engineer for <2 years in the `Software Development` industry (10001+ employees)
* Co-Founder, CTO for <2 years
* Staff Software Engineer for 4-5 years in the `Software Development` industry (10001+ employees)

 They have overseen one acquisition as a founder: one Undisclosed in value."
d605f360-37dc-4b1a-9d51-d4dfc70fc30f,"This founder leads a startup in the Financial Services industry.
Education:
* MSc in Statistics (Institution QS rank 200+)
* (Institution QS rank 200+)

Professional experience:
* Senior Director (Risk Management, Modeling & Analytics) for 2-3 years in the `Financial Services` industry (1001-5000 employees)
* VP, Director (Risk Management) for 6-9 years in the `Financial Services` industry (10001+ employees)
* Officer, Chief Statistician for <2 years
* Unit Manager for 6-9 years in the `IT Services & Digital Solutions` industry (10001+ employees)"
565998ae-a419-4992-9a9d-9e772060102d,"This founder leads a startup in the Clinical & Diagnostic Healthcare industry.
Education:
* BS in Mechanical Engineering (Institution QS rank 187)
* BA in Business Administration (Institution QS rank 200+)
* BA in Economics (Institution QS rank 200+)

Professional experience:
* Founder, CEO for >9 years in the `Biotechnology & Nanotechnology Research` industry (11-50 employees)

 They previously led their company(s) through one IPO with undisclosed valuation."
e9f72c38-3a95-4b09-a8b8-c34669c93a69,"This founder leads a startup in the Software Development industry.
Education:
* BS in Computer Science (Institution QS rank 84)

Professional experience:
* Software Engineer for <2 years in the `Marketing, Advertising & Events` industry (51-200 employees)"
2aca3c98-7155-430e-8515-1f96f3d32779,"This founder leads a startup in the Biotechnology & Nanotechnology Research industry.
Professional experience:
* CEO
* CSO for 2-3 years in the `Biotechnology & Nanotechnology Research` industry (201-500 employees)

 They previously led their company(s) through one IPO valued at >500M. They have overseen 2 acquisitions as a founder: one Undisclosed in value and one >500M in value."
ca2947ea-cfae-43d2-b44b-d7f526219e0b,"This founder leads a startup in the Software Development industry.
Education:
* MBA in Marketing and Strategy and Entrepreneurship (Institution QS rank 200+)
* BS in Computer Science (Institution QS rank 42)

Professional experience:
* Co-Founder, Managing Partner for <2 years in the `IT Services & Digital Solutions` industry (11-50 employees)
* Principal for 2-3 years in the `Management, Strategy & Professional Services` industry (1001-5000 employees)
* Co-Founder, Managing Partner for <2 years
* Marketing Manager, Applications Manager, Staff Engineer for 6-9 years in the `Software Development` industry (51-200 employees)"
